description,language,hotel_name,location,landmark,address
"Welcome to Krasnapolsky Amsterdam, a comfortable stay with canal-view rooms, a winter-garden breakfast, and 24/7 reception. Find us at Damrak 96, 1012 LP Amsterdam, Amsterdam. Just minutes from Dam Square and popular local cafés, shops, and evening spots. Enjoy a quiet lobby with tea and coffee available most afternoons. If you’re arriving early, luggage storage is available until your room is ready. Transport tips: buses run frequently nearby, and rideshare pickup is easiest at the main entrance.",en,Krasnapolsky Hotel Amsterdam,"Amsterdam, Netherlands",Dam Square,"Damrak 96, 1012 LP Amsterdam"
"Welcome to Rembrandt Square Hotel, a comfortable stay with bike rentals, blackout curtains, and a small cocktail bar. Find us at Amstelstraat 20, 1017 DA Amsterdam, Amsterdam. Just minutes from Rembrandtplein and popular local cafés, shops, and evening spots. Enjoy a quiet lobby with tea and coffee available most afternoons. If you’re arriving early, luggage storage is available until your room is ready. Transport tips: the nearest metro is a short walk away, and taxis can be requested at reception.",en,Rembrandt Square Hotel,"Amsterdam, Netherlands",Rembrandtplein,"Amstelstraat 20, 1017 DA Amsterdam"
"Welcome to Grand Plaza, a comfortable stay with soundproofed rooms, a rooftop lounge, and a compact gym. Find us at 350 W 42nd St, New York, NY 10036, New York. Just minutes from Times Square and popular local cafés, shops, and evening spots. Rooms include blackout curtains and a small desk for work or planning day trips. Transport tips: the nearest metro is a short walk away, and taxis can be requested at reception.",en,Grand Plaza Midtown,"New York, USA",Times Square,"350 W 42nd St, New York, NY 10036"
"Welcome to Central, a comfortable stay with luggage storage, early breakfast bags, and self check-in kiosks. Find us at 12 Station Rd, Edinburgh EH1 1BB, Edinburgh. Just minutes from Edinburgh Waverley Station and popular local cafés, shops, and evening spots. Families can request an extra bed and a crib, subject to availability. A small lounge makes a good spot to unwind after sightseeing. Transport tips: the front desk can arrange a taxi, and the closest train station is walkable.",en,Central Station City Hotel,"Edinburgh, United Kingdom",Edinburgh Waverley Station,"12 Station Rd, Edinburgh EH1 1BB"
"Welcome to Harbour Bridge Plaza Hotel, a comfortable stay with harbour-facing suites, a rooftop pool, and tour bookings. Find us at 98 Cumberland St, The Rocks NSW 2000, Sydney. Just minutes from Sydney Harbour Bridge and popular local cafés, shops, and evening spots. Families can request an extra bed and a crib, subject to availability. Enjoy a quiet lobby with tea and coffee available most afternoons. Transport tips: buses run frequently nearby, and rideshare pickup is easiest at the main entrance.",en,Harbour Bridge Plaza Hotel,"Sydney, Australia",Sydney Harbour Bridge,"98 Cumberland St, The Rocks NSW 2000"
"Welcome to Rivoli Louvre, a comfortable stay with concierge museum reservations, quiet rooms, and café-to-go. Find us at 99 Rue de Rivoli, 75001 Paris, Paris. Just minutes from Louvre Museum and popular local cafés, shops, and evening spots. A small lounge makes a good spot to unwind after sightseeing. Families can request an extra bed and a crib, subject to availability. Transport tips: ask the desk to book an airport shuttle, or use the nearest tram stop around the corner.",en,Rivoli Louvre Hotel,"Paris, France",Louvre Museum,"99 Rue de Rivoli, 75001 Paris"
"Welcome to Plaza, a comfortable stay with park-view rooms, bike storage, and a sauna corner. Find us at Parkring 12, 1010 Vienna, Vienna. Just minutes from Stadtpark and popular local cafés, shops, and evening spots. If you’re arriving early, luggage storage is available until your room is ready. A small lounge makes a good spot to unwind after sightseeing. Breakfast is served daily, with lighter options available for early departures. Transport tips: the nearest metro is a short walk away, and taxis can be requested at reception.",en,Park Plaza City,"Vienna, Austria",Stadtpark,"Parkring 12, 1010 Vienna"
"Welcome to Grand Plaza Termini, a comfortable stay with fast check-in, baggage hold, and late breakfast. Find us at Via Marsala 25, 00185 Rome, Rome. Just minutes from Roma Termini and popular local cafés, shops, and evening spots. If you’re arriving early, luggage storage is available until your room is ready. A small lounge makes a good spot to unwind after sightseeing. Transport tips: the front desk can arrange a taxi, and the closest train station is walkable.",en,Grand Plaza Termini,"Rome, Italy",Roma Termini,"Via Marsala 25, 00185 Rome"
"Welcome to Ginza Central Hotel, a comfortable stay with fast Wi‑Fi, quiet floors, and complimentary drip coffee. Find us at 4-2-1 Ginza, Chuo City, Tokyo 104-0061, Tokyo. Just minutes from Ginza Station and popular local cafés, shops, and evening spots. If you’re arriving early, luggage storage is available until your room is ready. A small lounge makes a good spot to unwind after sightseeing. Families can request an extra bed and a crib, subject to availability. Transport tips: look for the closest subway entrance nearby, or request a pre-booked transfer.",en,Ginza Central Hotel,"Tokyo, Japan",Ginza Station,"4-2-1 Ginza, Chuo City, Tokyo 104-0061"
"Welcome to Shinjuku City Hotel, a comfortable stay with coin laundry, self check-in, and compact single rooms. Find us at 1-1-1 Nishi-Shinjuku, Tokyo 160-0023, Tokyo. Just minutes from Shinjuku Station and popular local cafés, shops, and evening spots. Breakfast is served daily, with lighter options available for early departures. A small lounge makes a good spot to unwind after sightseeing. Transport tips: the nearest metro is a short walk away, and taxis can be requested at reception.",en,Shinjuku City Hotel,"Tokyo, Japan",Shinjuku Station,"1-1-1 Nishi-Shinjuku, Tokyo 160-0023"
"Welcome to Bund Riverside, a comfortable stay with river-view rooms, buffet breakfast, and a small gym. Find us at 88 Zhongshan East 1st Rd, Huangpu, Shanghai, Shanghai. Just minutes from The Bund and popular local cafés, shops, and evening spots. If you’re arriving early, luggage storage is available until your room is ready. Transport tips: the nearest metro is a short walk away, and taxis can be requested at reception.",en,Bund Riverside Grand Hotel,"Shanghai, China",The Bund,"88 Zhongshan East 1st Rd, Huangpu, Shanghai"
"Welcome to Grand Plaza Taksim, a comfortable stay with sound-insulated rooms, airport transfer booking, and a lobby café. Find us at Sıraselviler Cd. 9, Beyoğlu 34433 Istanbul, Istanbul. Just minutes from Taksim Square and popular local cafés, shops, and evening spots. If you’re arriving early, luggage storage is available until your room is ready. Breakfast is served daily, with lighter options available for early departures. Transport tips: ask the desk to book an airport shuttle, or use the nearest tram stop around the corner.",en,Grand Plaza Taksim,"Istanbul, Türkiye",Taksim Square,"Sıraselviler Cd. 9, Beyoğlu 34433 Istanbul"
"Welcome to Corniche Bay Hotel, a comfortable stay with sea-view family rooms, free parking, and late-night room service. Find us at Corniche Rd 10, Jeddah 23411, Jeddah. Just minutes from Jeddah Corniche and popular local cafés, shops, and evening spots. Breakfast is served daily, with lighter options available for early departures. A small lounge makes a good spot to unwind after sightseeing. Transport tips: the front desk can arrange a taxi, and the closest train station is walkable.",en,Corniche Bay Hotel,"Jeddah, Saudi Arabia",Jeddah Corniche,"Corniche Rd 10, Jeddah 23411"
"Welcome to Oldtown Gate Inn, a comfortable stay with complimentary tea, walking-tour signup, and a small lift. Find us at Karlova 2, 110 00 Prague, Prague. Just minutes from Old Town Square and popular local cafés, shops, and evening spots. If you’re arriving early, luggage storage is available until your room is ready. Transport tips: the front desk can arrange a taxi, and the closest train station is walkable.",en,Old Town Gate Inn,"Prague, Czechia",Old Town Square,"Karlova 2, 110 00 Prague"
"Welcome to Catedral Plaza Hotel, a comfortable stay with a terrace café, bike hire, and afternoon coffee service. Find us at Plaça Nova 1, 08002 Barcelona, Barcelona. Just minutes from Barcelona Cathedral and popular local cafés, shops, and evening spots. A small lounge makes a good spot to unwind after sightseeing. Breakfast is served daily, with lighter options available for early departures. Transport tips: the nearest metro is a short walk away, and taxis can be requested at reception.",en,Catedral Plaza Hotel,"Barcelona, Spain",Barcelona Cathedral,"Plaça Nova 1, 08002 Barcelona"
"Welcome to Grand Plaza, a comfortable stay with coworking tables, express check-in, and a compact gym. Find us at Av. Paulista 1578, Bela Vista, São Paulo 01310-200, São Paulo. Just minutes from MASP and popular local cafés, shops, and evening spots. A small lounge makes a good spot to unwind after sightseeing. Transport tips: the nearest metro is a short walk away, and taxis can be requested at reception.",en,Grand Plaza Paulista,"São Paulo, Brazil",MASP,"Av. Paulista 1578, Bela Vista, São Paulo 01310-200"
"Welcome to Mercado Central Hotel, a comfortable stay with shared kitchen, quiet rooms, and 24/7 reception. Find us at Av. 24 de Julho 49, 1200-479 Lisbon, Lisbon. Just minutes from Mercado da Ribeira and popular local cafés, shops, and evening spots. Enjoy a quiet lobby with tea and coffee available most afternoons. Breakfast is served daily, with lighter options available for early departures. Transport tips: ask the desk to book an airport shuttle, or use the nearest tram stop around the corner.",en,Mercado Central Hotel,"Lisbon, Portugal",Mercado da Ribeira,"Av. 24 de Julho 49, 1200-479 Lisbon"
"Welcome to Ponte Vecchio, a comfortable stay with Arno-view balconies, taxi service, and in-room kettles. Find us at Borgo San Jacopo 8, 50125 Florence, Florence. Just minutes from Ponte Vecchio and popular local cafés, shops, and evening spots. A small lounge makes a good spot to unwind after sightseeing. If you’re arriving early, luggage storage is available until your room is ready. Transport tips: if arriving late, take a taxi to the address and check in at the main lobby desk.",en,Ponte Vecchio Riverside Hotel,"Florence, Italy",Ponte Vecchio,"Borgo San Jacopo 8, 50125 Florence"
"Welcome to San Marco Boutique Hotel, a comfortable stay with concierge help, air-conditioned rooms, and late breakfast. Find us at Calle Larga XXII Marzo 2398, 30124 Venice, Venice. Just minutes from Piazza San Marco and popular local cafés, shops, and evening spots. If you’re arriving early, luggage storage is available until your room is ready. Transport tips: buses run frequently nearby, and rideshare pickup is easiest at the main entrance.",en,San Marco Boutique Hotel,"Venice, Italy",Piazza San Marco,"Calle Larga XXII Marzo 2398, 30124 Venice"
"Welcome to Central, a comfortable stay with keycard elevators, luggage lockers, and a small bar. Find us at Alexanderstraße 1, 10178 Berlin, Berlin. Just minutes from Alexanderplatz and popular local cafés, shops, and evening spots. If you’re arriving early, luggage storage is available until your room is ready. Rooms include blackout curtains and a small desk for work or planning day trips. Transport tips: look for the closest subway entrance nearby, or request a pre-booked transfer.",en,Alexanderplatz Central Hotel,"Berlin, Germany",Alexanderplatz,"Alexanderstraße 1, 10178 Berlin"
"Welcome to Brandenburger Tor Hotel Berlin, a comfortable stay with breakfast buffet, blackout curtains, and ticket assistance. Find us at Straße des 17. Juni 5, 10623 Berlin, Berlin. Just minutes from Brandenburg Gate and popular local cafés, shops, and evening spots. Rooms include blackout curtains and a small desk for work or planning day trips. If you’re arriving early, luggage storage is available until your room is ready. Transport tips: look for the closest subway entrance nearby, or request a pre-booked transfer.",en,Brandenburger Tor Hotel Berlin,"Berlin, Germany",Brandenburg Gate,"Straße des 17. Juni 5, 10623 Berlin"
"Welcome to Grand Plaza, a comfortable stay with breakfast buffet, keycard access, and a small gym. Find us at Götgatan 19, 118 46 Stockholm, Stockholm. Just minutes from Slussen and popular local cafés, shops, and evening spots. Families can request an extra bed and a crib, subject to availability. If you’re arriving early, luggage storage is available until your room is ready. Transport tips: the nearest metro is a short walk away, and taxis can be requested at reception.",en,Grand Plaza Slussen,"Stockholm, Sweden",Slussen,"Götgatan 19, 118 46 Stockholm"
"Welcome to Gamla Stan Hotel, a comfortable stay with quiet courtyard rooms, evening tea, and boat tour booking help. Find us at Storkyrkobrinken 4, 111 28 Stockholm, Stockholm. Just minutes from Royal Palace and popular local cafés, shops, and evening spots. Rooms include blackout curtains and a small desk for work or planning day trips. Transport tips: the front desk can arrange a taxi, and the closest train station is walkable.",en,Gamla Stan Hotel,"Stockholm, Sweden",Royal Palace,"Storkyrkobrinken 4, 111 28 Stockholm"
"Welcome to Drottninggatan Hotel, a comfortable stay with fast Wi‑Fi, early breakfast, and baggage storage. Find us at Drottninggatan 3, 411 14 Gothenburg, Gothenburg. Just minutes from Avenyn and popular local cafés, shops, and evening spots. Enjoy a quiet lobby with tea and coffee available most afternoons. Transport tips: buses run frequently nearby, and rideshare pickup is easiest at the main entrance.",en,Drottninggatan Hotel,"Gothenburg, Sweden",Avenyn,"Drottninggatan 3, 411 14 Gothenburg"
"Welcome to Hotel, a comfortable stay with 24/7 reception, breakfast service, and courtyard-facing rooms. Find us at Rynek Główny 6, 31-042 Kraków, Kraków. Just minutes from Main Market Square and popular local cafés, shops, and evening spots. If you’re arriving early, luggage storage is available until your room is ready. Breakfast is served daily, with lighter options available for early departures. Transport tips: the front desk can arrange a taxi, and the closest train station is walkable.",en,Hotel Rynek,"Kraków, Poland",Main Market Square,"Rynek Główny 6, 31-042 Kraków"
"Welcome to Grand Plaza Centrum, a comfortable stay with meeting rooms, airport transfer booking, and fast Wi‑Fi. Find us at ul. Marszałkowska 1, 00-624 Warsaw, Warsaw. Just minutes from Palace of Culture and Science and popular local cafés, shops, and evening spots. Enjoy a quiet lobby with tea and coffee available most afternoons. If you’re arriving early, luggage storage is available until your room is ready. Transport tips: look for the closest subway entrance nearby, or request a pre-booked transfer.",en,Grand Plaza Centrum,"Warsaw, Poland",Palace of Culture and Science,"ul. Marszałkowska 1, 00-624 Warsaw"
"Welcome to Hotel, a comfortable stay with bike rentals, late checkout, and a minibar. Find us at ul. Mostowa 8, 50-001 Wrocław, Wrocław. Just minutes from Grunwaldzki Bridge and popular local cafés, shops, and evening spots. A small lounge makes a good spot to unwind after sightseeing. Transport tips: buses run frequently nearby, and rideshare pickup is easiest at the main entrance.",en,Hotel Most,"Wrocław, Poland",Grunwaldzki Bridge,"ul. Mostowa 8, 50-001 Wrocław"
"Welcome to Connaught Plaza Hotel, a comfortable stay with early breakfast, reliable Wi‑Fi, and 24/7 reception. Find us at Janpath Rd 22, New Delhi 110001, New Delhi. Just minutes from India Gate and popular local cafés, shops, and evening spots. Enjoy a quiet lobby with tea and coffee available most afternoons. Transport tips: the front desk can arrange a taxi, and the closest train station is walkable.",en,Connaught Plaza Hotel,"New Delhi, India",India Gate,"Janpath Rd 22, New Delhi 110001"
"Welcome to MG, a comfortable stay with laundry service, desk workspace, and gym passes. Find us at MG Road 101, Bengaluru 560001, Bengaluru. Just minutes from Cubbon Park and popular local cafés, shops, and evening spots. A small lounge makes a good spot to unwind after sightseeing. Transport tips: the front desk can arrange a taxi, and the closest train station is walkable.",en,MG Road Hotel,"Bengaluru, India",Cubbon Park,"MG Road 101, Bengaluru 560001"
"Welcome to Haeundae Grand Plaza, a comfortable stay with ocean-view rooms, sauna access, and buffet breakfast. Find us at 55 Haeundae-ro, Haeundae-gu, Busan 48094, Busan. Just minutes from Haeundae Beach and popular local cafés, shops, and evening spots. A small lounge makes a good spot to unwind after sightseeing. Transport tips: if arriving late, take a taxi to the address and check in at the main lobby desk.",en,Haeundae Grand Plaza,"Busan, South Korea",Haeundae Beach,"55 Haeundae-ro, Haeundae-gu, Busan 48094"
"Welcome to Hangang Hotel, a comfortable stay with quiet rooms, laundry service, and limousine bus reservations. Find us at 1-1 Yeouido-dong, Yeongdeungpo-gu, Seoul 07325, Seoul. Just minutes from Hangang Park and popular local cafés, shops, and evening spots. Enjoy a quiet lobby with tea and coffee available most afternoons. Breakfast is served daily, with lighter options available for early departures. Transport tips: buses run frequently nearby, and rideshare pickup is easiest at the main entrance.",en,Hangang Hotel,"Seoul, South Korea",Hangang Park,"1-1 Yeouido-dong, Yeongdeungpo-gu, Seoul 07325"
"Welcome to Tahrir Square Hotel, a comfortable stay with city-view terrace, room service, and tour arrangements. Find us at Qasr El Aini St 5, Cairo 11511, Cairo. Just minutes from Tahrir Square and popular local cafés, shops, and evening spots. Enjoy a quiet lobby with tea and coffee available most afternoons. A small lounge makes a good spot to unwind after sightseeing. Transport tips: buses run frequently nearby, and rideshare pickup is easiest at the main entrance.",en,Tahrir Square Hotel,"Cairo, Egypt",Tahrir Square,"Qasr El Aini St 5, Cairo 11511"
"Welcome to Khalid Airport Grand Plaza, a comfortable stay with fast check-in, quiet rooms, and a 24-hour café. Find us at Airport Rd 200, Riyadh 13413, Riyadh. Just minutes from King Khalid International Airport and popular local cafés, shops, and evening spots. Breakfast is served daily, with lighter options available for early departures. Enjoy a quiet lobby with tea and coffee available most afternoons. Transport tips: if arriving late, take a taxi to the address and check in at the main lobby desk.",en,Khalid Airport Grand Plaza,"Riyadh, Saudi Arabia",King Khalid International Airport,"Airport Rd 200, Riyadh 13413"
"Welcome to Alameda Central Hotel, a comfortable stay with continental breakfast, tour desk help, and spacious rooms. Find us at Av. Hidalgo 20, Centro, 06000 Mexico City, Mexico City. Just minutes from Alameda Central and popular local cafés, shops, and evening spots. Families can request an extra bed and a crib, subject to availability. Transport tips: the nearest metro is a short walk away, and taxis can be requested at reception.",en,Alameda Central Hotel,"Mexico City, Mexico",Alameda Central,"Av. Hidalgo 20, Centro, 06000 Mexico City"
"Welcome to Plaza, a comfortable stay with blackout curtains, 24/7 reception, and a small gym. Find us at Av. Corrientes 900, C1043AAO Buenos Aires, Buenos Aires. Just minutes from Obelisk and popular local cafés, shops, and evening spots. Breakfast is served daily, with lighter options available for early departures. Transport tips: if arriving late, take a taxi to the address and check in at the main lobby desk.",en,Obelisco Plaza Hotel,"Buenos Aires, Argentina",Obelisk,"Av. Corrientes 900, C1043AAO Buenos Aires"
"Welcome to Jet d’Eau, a comfortable stay with lake-view rooms, umbrella lending, and shuttle service. Find us at Quai du Mont‑Blanc 5, 1201 Geneva, Geneva. Just minutes from Jet d’Eau and popular local cafés, shops, and evening spots. If you’re arriving early, luggage storage is available until your room is ready. Transport tips: the nearest metro is a short walk away, and taxis can be requested at reception.",en,Jet d’Eau Central Hotel,"Geneva, Switzerland",Jet d’Eau,"Quai du Mont‑Blanc 5, 1201 Geneva"
"Welcome to Cathedral Square, a comfortable stay with kitchenette suites, paid parking, and late checkout. Find us at 8 Cathedral Sq, Christchurch 8011, Christchurch. Just minutes from Cathedral Square and popular local cafés, shops, and evening spots. A small lounge makes a good spot to unwind after sightseeing. Transport tips: the front desk can arrange a taxi, and the closest train station is walkable.",en,Cathedral Square Suites,"Christchurch, New Zealand",Cathedral Square,"8 Cathedral Sq, Christchurch 8011"
"Welcome to Union Square Grand Plaza, a comfortable stay with on-site café, meeting pods, and concierge. Find us at 333 Post St, San Francisco, CA 94108, San Francisco. Just minutes from Union Square and popular local cafés, shops, and evening spots. Breakfast is served daily, with lighter options available for early departures. Rooms include blackout curtains and a small desk for work or planning day trips. If you’re arriving early, luggage storage is available until your room is ready. Transport tips: the front desk can arrange a taxi, and the closest train station is walkable.",en,Union Square Grand Plaza,"San Francisco, USA",Union Square,"333 Post St, San Francisco, CA 94108"
"Welcome to Grand Plaza, a comfortable stay with scheduled shuttle, soundproof windows, and a 24/7 snack bar. Find us at 1 Airport Blvd, Miami, FL 33126, Miami. Just minutes from Miami International Airport and popular local cafés, shops, and evening spots. Rooms include blackout curtains and a small desk for work or planning day trips. A small lounge makes a good spot to unwind after sightseeing. Transport tips: buses run frequently nearby, and rideshare pickup is easiest at the main entrance.",en,Grand Plaza Airport,"Miami, USA",Miami International Airport,"1 Airport Blvd, Miami, FL 33126"
"Welcome to Plaza, a comfortable stay with pool access, harbour views, and concierge dining bookings. Find us at 6-8 Harbour Rd, Wan Chai, Hong Kong, Hong Kong. Just minutes from Victoria Harbour and popular local cafés, shops, and evening spots. Enjoy a quiet lobby with tea and coffee available most afternoons. Rooms include blackout curtains and a small desk for work or planning day trips. Families can request an extra bed and a crib, subject to availability. Transport tips: the front desk can arrange a taxi, and the closest train station is walkable.",en,Victoria Harbour Plaza,"Hong Kong, China",Victoria Harbour,"6-8 Harbour Rd, Wan Chai, Hong Kong"
"Welcome to Millennium Bridge Hotel, a comfortable stay with river-view rooms, a small gym, and theatre ticket assistance. Find us at 2 River Walk, London SE1 9PP, London. Just minutes from Millennium Bridge and popular local cafés, shops, and evening spots. If you’re arriving early, luggage storage is available until your room is ready. Transport tips: ask the desk to book an airport shuttle, or use the nearest tram stop around the corner.",en,Millennium Bridge Hotel,"London, United Kingdom",Millennium Bridge,"2 River Walk, London SE1 9PP"
"Welcome to Gran, a comfortable stay with double-glazed windows, 24/7 desk, and luggage storage. Find us at Gran Vía 31, 28013 Madrid, Madrid. Just minutes from Gran Vía and popular local cafés, shops, and evening spots. If you’re arriving early, luggage storage is available until your room is ready. Enjoy a quiet lobby with tea and coffee available most afternoons. Transport tips: buses run frequently nearby, and rideshare pickup is easiest at the main entrance.",en,Gran Vía Comfort Hotel,"Madrid, Spain",Gran Vía,"Gran Vía 31, 28013 Madrid"
"Welcome to Park, a comfortable stay with family suites, airport transfer, and a kids’ play corner. Find us at 12 Park Ln, Dubai 00000, Dubai. Just minutes from Burj Khalifa and popular local cafés, shops, and evening spots. If you’re arriving early, luggage storage is available until your room is ready. Families can request an extra bed and a crib, subject to availability. Transport tips: buses run frequently nearby, and rideshare pickup is easiest at the main entrance.",en,Park Lane Suites Hotel,"Dubai, UAE",Burj Khalifa,"12 Park Ln, Dubai 00000"
"Welcome to Piazza Navona, a comfortable stay with quiet rooms, breakfast delivery, and tour booking. Find us at 21 Via di Tor Millina, 00186 Rome, Rome. Just minutes from Piazza Navona and popular local cafés, shops, and evening spots. Enjoy a quiet lobby with tea and coffee available most afternoons. Rooms include blackout curtains and a small desk for work or planning day trips. Transport tips: look for the closest subway entrance nearby, or request a pre-booked transfer.",en,Piazza Navona Stay Hotel,"Rome, Italy",Piazza Navona,"21 Via di Tor Millina, 00186 Rome"
"Welcome to Central Harbor Hotel, a comfortable stay with harbor views, espresso bar, and late checkout. Find us at 15 Quay St, Auckland 1010, Auckland. Just minutes from Viaduct Harbour and popular local cafés, shops, and evening spots. A small lounge makes a good spot to unwind after sightseeing. If you’re arriving early, luggage storage is available until your room is ready. Transport tips: look for the closest subway entrance nearby, or request a pre-booked transfer.",en,Central Harbor Hotel,"Auckland, New Zealand",Viaduct Harbour,"15 Quay St, Auckland 1010"
"Welcome to Grand Plaza Riverside, a comfortable stay with spa access, breakfast buffet, and river-view rooms. Find us at 1 Duna Korzó, 1051 Budapest, Budapest. Just minutes from Danube Promenade and popular local cafés, shops, and evening spots. Breakfast is served daily, with lighter options available for early departures. Transport tips: look for the closest subway entrance nearby, or request a pre-booked transfer.",en,Grand Plaza Riverside,"Budapest, Hungary",Danube Promenade,"1 Duna Korzó, 1051 Budapest"
"Welcome to Maple Harbor Hotel, a comfortable stay with fast Wi‑Fi, a quiet lobby, and a small fitness room. Find us at 12 Harbour Street, Halifax NS B3H 1Y3, Halifax. Just minutes from Old Town Market Hall and popular local cafés, shops, and evening spots. A small lounge makes a good spot to unwind after sightseeing. Transport tips: if arriving late, take a taxi to the address and check in at the main lobby desk.",en,Maple Harbor Hotel,"Halifax, Canada",Old Town Market Hall,"12 Harbour Street, Halifax NS B3H 1Y3"
"Welcome to Cornerstone Inn, a comfortable stay with cozy rooms, local pastries, and late check-in. Find us at 3 Royal Mile, Edinburgh EH1 1BB, Edinburgh. Just minutes from Royal Mile and popular local cafés, shops, and evening spots. Rooms include blackout curtains and a small desk for work or planning day trips. A small lounge makes a good spot to unwind after sightseeing. Transport tips: buses run frequently nearby, and rideshare pickup is easiest at the main entrance.",en,Cornerstone Inn,"Edinburgh, United Kingdom",Royal Mile,"3 Royal Mile, Edinburgh EH1 1BB"
"Welcome to Grand Plaza, a comfortable stay with fast Wi‑Fi, a lobby coffee bar, and a small fitness room. Find us at 200 Market St, Philadelphia, PA 19106, Philadelphia. Just minutes from Independence Hall and popular local cafés, shops, and evening spots. Breakfast is served daily, with lighter options available for early departures. Transport tips: look for the closest subway entrance nearby, or request a pre-booked transfer.",en,Grand Plaza Downtown,"Philadelphia, USA",Independence Hall,"200 Market St, Philadelphia, PA 19106"
"Welcome to Rembrandtplein Suites, a comfortable stay with kitchenette studios, quiet rooms, and bike rental support. Find us at 1 Amstelstraat, 1017 DA Amsterdam, Amsterdam. Just minutes from Rembrandtplein and popular local cafés, shops, and evening spots. Rooms include blackout curtains and a small desk for work or planning day trips. Transport tips: buses run frequently nearby, and rideshare pickup is easiest at the main entrance.",en,Rembrandtplein Suites Hotel,"Amsterdam, Netherlands",Rembrandtplein,"1 Amstelstraat, 1017 DA Amsterdam"
